Component	Composition (Molar) Ci	Pci (psia)	Tci (°R)	Wi	MWi (1bm/lbmol)	Vci (ft3/1bm)	Shift (-)
CO2	0.0031	1071	547.91	0.2667	44.01	0.0344	0.0833
C1	0.6192	666.4	343.33	0.0104	16.043	0.0988	0.0234
C2	0.1408	706.5	549.92	0.0979	30.07	0.0783	0.0605
C3	0.0835	616	666.06	0.1522	44.097	0.0727	0.0825
i-C4	0.0097	527.9	734.46	0.1852	58.123	0.0714	0.083
n-C4	0.0341	550.6	765.62	0.1995	58.123	0.0703	0.0975
i-C5	0.0084	490.4	829.1	0.228	72.15	0.0679	0.1022
n-C5	0.0148	488.6	845.8	0.2514	72.15	0.0675	0.1209
n-C6	0.0179	436.9	913.6	0.2994	86.177	0.0688	0.1467
C7+	0.0685	305.2	1112	0.4898	142.285	0.0679	0.208
