Time (s),Average Pressure (Pa),C1 Composition (1),C2 Composition (1),C3 Composition (1),C4 Composition (1),C5 Composition (1),C6 Composition (1),Liquid Saturation (1)
0,14002455.54,0.6223,0.1408,0.0835,0.0438,0.0232,0.0864,0
1,14002455.25,0.6223,0.1408,0.0835,0.0438,0.0232,0.0864,0
1.584893192,14002455.07,0.6223,0.1408,0.0835,0.0438,0.0232,0.0864,0
2.511886432,14002454.8,0.6223,0.1408,0.0835,0.0438,0.0232,0.0864,0
3.981071706,14002454.38,0.6223,0.1408,0.0835,0.0438,0.0232,0.0864,0
6.309573445,14002453.7,0.6223,0.1408,0.0835,0.0438,0.0232,0.0864,0
10,14002452.62,0.6223,0.1408,0.0835,0.0438,0.0232,0.0864,0
15.84893192,14002450.92,0.6223,0.1408,0.0835,0.0438,0.0232,0.0864,0
25.11886432,14002448.22,0.6223,0.1408,0.0835,0.0438,0.0232,0.0864,0
39.81071706,14002443.95,0.6223,0.1408,0.0835,0.0438,0.0232,0.0864,0
63.09573445,14002437.17,0.6223,0.1408,0.0835,0.0438,0.0232,0.0864,0
100,14002426.42,0.6223,0.1408,0.0835,0.0438,0.0232,0.0864,0
158.4893192,14002409.4,0.6223,0.1408,0.0835,0.0438,0.0232,0.0864,0
251.1886432,14002382.41,0.6223,0.1408,0.0835,0.0438,0.0232,0.0864,0
398.1071706,14002339.65,0.6223,0.1408,0.0835,0.0438,0.0232,0.0864,0
630.9573445,14002271.88,0.6223,0.1408,0.0835,0.0438,0.0232,0.0864,0
1000,14002164.5,0.6223,0.1408,0.0835,0.0438,0.0232,0.0864,0
1584.893192,14001994.34,0.622299999,0.1408,0.0835,0.0438,0.0232,0.086400001,0
2511.886432,14001724.76,0.622299997,0.1408,0.0835,0.0438,0.0232,0.086400002,0
3981.071706,14001297.67,0.622299992,0.1408,0.083500001,0.043800001,0.023200001,0.086400004,0
6309.573445,14000621.18,0.62229998,0.140800001,0.083500003,0.043800003,0.023200002,0.086400011,0
